"uri","label"
"http://publications.europa.eu/resource/authority/subject-matter/FEOG","European Agricultural Guidance and Guarantee Fund (EAGGF)"
"http://publications.europa.eu/resource/authority/subject-matter/IME","European Monetary Institute"
"http://publications.europa.eu/resource/authority/subject-matter/IMMI","Immigration and asylum policy"
"http://publications.europa.eu/resource/authority/subject-matter/INDR","Indirect taxation"
"http://publications.europa.eu/resource/authority/subject-matter/NAT","Non-discrimination on grounds of nationality"
"http://publications.europa.eu/resource/authority/subject-matter/OMC","World Trade Organization"
"http://publications.europa.eu/resource/authority/subject-matter/OP_DATPRO","Provisional data"
"http://publications.europa.eu/resource/authority/subject-matter/PIM","Integrated Mediterranean programmes (IMP)"
"http://publications.europa.eu/resource/authority/subject-matter/PME","Small and medium-sized enterprises"
"http://publications.europa.eu/resource/authority/subject-matter/POIS","Peas and field beans"
"http://publications.europa.eu/resource/authority/subject-matter/PROP","Intellectual, industrial and commercial property"
"http://publications.europa.eu/resource/authority/subject-matter/RTRA","Community transit systems"
"http://publications.europa.eu/resource/authority/subject-matter/SANT","Public health"
"http://publications.europa.eu/resource/authority/subject-matter/STAT","Staff regulations and employment conditions - EC"
"http://publications.europa.eu/resource/authority/subject-matter/V-LG","Rabbit meat and farmed game meat"
"http://publications.europa.eu/resource/authority/subject-matter/ACP","African, Caribbean and Pacific States (ACP)"
"http://publications.europa.eu/resource/authority/subject-matter/AGRI","Agriculture and Fisheries"
"http://publications.europa.eu/resource/authority/subject-matter/ANCO","Non-trade agreement"
"http://publications.europa.eu/resource/authority/subject-matter/ASSI","Assistance"
"http://publications.europa.eu/resource/authority/subject-matter/CECC","Brussels Convention of 27 September 1968"
"http://publications.europa.eu/resource/authority/subject-matter/COMB","Fuels"
"http://publications.europa.eu/resource/authority/subject-matter/COPO","Police cooperation"
"http://publications.europa.eu/resource/authority/subject-matter/COPT","Economic, financial and technical cooperation with third countries"
"http://publications.europa.eu/resource/authority/subject-matter/DUMP","Dumping"
"http://publications.europa.eu/resource/authority/subject-matter/EMPR","Loans contracted by the ECSC"
"http://publications.europa.eu/resource/authority/subject-matter/ENER","Energy"
"http://publications.europa.eu/resource/authority/subject-matter/FISC","Taxation"
"http://publications.europa.eu/resource/authority/subject-matter/FLT","Processed fruit and vegetables"
"http://publications.europa.eu/resource/authority/subject-matter/HARD","Harmonisation of customs law: customs territory"
"http://publications.europa.eu/resource/authority/subject-matter/HARX","Harmonisation of customs law: various"
"http://publications.europa.eu/resource/authority/subject-matter/HORS","Non-Annex II EEC Treaty products"
"http://publications.europa.eu/resource/authority/subject-matter/IMPL","Provisions under Article 235 EEC"
"http://publications.europa.eu/resource/authority/subject-matter/LAIT","Milk products"
"http://publications.europa.eu/resource/authority/subject-matter/O-V","Eggs and poultry"
"http://publications.europa.eu/resource/authority/subject-matter/POLL","Pollution"
"http://publications.europa.eu/resource/authority/subject-matter/QUOT","Production quotas"
"http://publications.europa.eu/resource/authority/subject-matter/RSTR","Quantitative restrictions"
"http://publications.europa.eu/resource/authority/subject-matter/SESO","Social security for migrant workers"
"http://publications.europa.eu/resource/authority/subject-matter/TUC","ECSC unified common tariff"
"http://publications.europa.eu/resource/authority/subject-matter/AUTH","Authentication"
"http://publications.europa.eu/resource/authority/subject-matter/COOP","Cooperation"
"http://publications.europa.eu/resource/authority/subject-matter/COPE","European political cooperation"
"http://publications.europa.eu/resource/authority/subject-matter/DIFF","Dissemination of information"
"http://publications.europa.eu/resource/authority/subject-matter/ENCO","Agreements and concentrations"
"http://publications.europa.eu/resource/authority/subject-matter/ENV","Environment"
"http://publications.europa.eu/resource/authority/subject-matter/ESPA","Space"
"http://publications.europa.eu/resource/authority/subject-matter/FONT","Pig iron"
"http://publications.europa.eu/resource/authority/subject-matter/FSE","European Social Fund (ESF)"
"http://publications.europa.eu/resource/authority/subject-matter/HOUB","Hops"
"http://publications.europa.eu/resource/authority/subject-matter/INFQ","Electronic data processing"
"http://publications.europa.eu/resource/authority/subject-matter/LCT","Free movement of workers"
"http://publications.europa.eu/resource/authority/subject-matter/PORC","Pigmeat"
"http://publications.europa.eu/resource/authority/subject-matter/SEBC","European system of central banks"
"http://publications.europa.eu/resource/authority/subject-matter/SIDE","Steel industry"
"http://publications.europa.eu/resource/authority/subject-matter/SUBV","Subsidies and aids of the High Authority"
"http://publications.europa.eu/resource/authority/subject-matter/TDCA","Customs duties: speed-up decisions"
"http://publications.europa.eu/resource/authority/subject-matter/TDCF","CCT: franchise"
"http://publications.europa.eu/resource/authority/subject-matter/TEEQ","Charges having an equivalent effect"
"http://publications.europa.eu/resource/authority/subject-matter/UD","Customs Union"
"http://publications.europa.eu/resource/authority/subject-matter/ACTE","Acts of the institutions"
"http://publications.europa.eu/resource/authority/subject-matter/ADAP","Adjustment"
"http://publications.europa.eu/resource/authority/subject-matter/AELE","European Free Trade Association (EFTA)"
"http://publications.europa.eu/resource/authority/subject-matter/ASIL","Asylum policy"
"http://publications.europa.eu/resource/authority/subject-matter/ASSO","Association Agreement"
"http://publications.europa.eu/resource/authority/subject-matter/BANA","Bananas"
"http://publications.europa.eu/resource/authority/subject-matter/CEDH","European Convention on Human Rights"
"http://publications.europa.eu/resource/authority/subject-matter/COES","Economic, social and territorial cohesion"
"http://publications.europa.eu/resource/authority/subject-matter/CROM","Rome Convention of 19 June 1980"
"http://publications.europa.eu/resource/authority/subject-matter/ENTR","Agreements, decisions and concerted practices"
"http://publications.europa.eu/resource/authority/subject-matter/EXT","External relations"
"http://publications.europa.eu/resource/authority/subject-matter/FEADER","Agricultural structural funds"
"http://publications.europa.eu/resource/authority/subject-matter/HARO","Harmonisation of customs law: origin of goods"
"http://publications.europa.eu/resource/authority/subject-matter/HART","Harmonisation of customs law: Community transit"
"http://publications.europa.eu/resource/authority/subject-matter/HUMA","Humanitarian aid"
"http://publications.europa.eu/resource/authority/subject-matter/LES","Freedom of establishment"
"http://publications.europa.eu/resource/authority/subject-matter/LPRA","Free circulation"
"http://publications.europa.eu/resource/authority/subject-matter/OVIN","Sheepmeat and goatmeat"
"http://publications.europa.eu/resource/authority/subject-matter/PECH","Fisheries policy"
"http://publications.europa.eu/resource/authority/subject-matter/SEME","Seeds and seedlings"
"http://publications.europa.eu/resource/authority/subject-matter/SOCI","Social provisions"
"http://publications.europa.eu/resource/authority/subject-matter/TABA","Tobacco"
"http://publications.europa.eu/resource/authority/subject-matter/ACSP","Special steels"
"http://publications.europa.eu/resource/authority/subject-matter/AIDE","State aids"
"http://publications.europa.eu/resource/authority/subject-matter/CAC","Cocoa"
"http://publications.europa.eu/resource/authority/subject-matter/ENTC","Joint undertakings"
"http://publications.europa.eu/resource/authority/subject-matter/EXCL","Exclusive agreements"
