"uri","label"
"http://publications.europa.eu/resource/authority/resource-type/COMPOS_ACCEPT","Acceptance of common position"
"http://publications.europa.eu/resource/authority/resource-type/NOTICE_AWARD","Award notice"
"http://publications.europa.eu/resource/authority/resource-type/NOTICE_CONTRACT","Contract notice"
"http://publications.europa.eu/resource/authority/resource-type/NOTICE_READER","Notice to readers"
"http://publications.europa.eu/resource/authority/resource-type/PROC_INTERNAL","Rules of procedure"
"http://publications.europa.eu/resource/authority/resource-type/IMPACT_ASSESS_SUM","Summary of impact assessment"
"http://publications.europa.eu/resource/authority/resource-type/RECO_DEC","Recommendation for a decision"
"http://publications.europa.eu/resource/authority/resource-type/SUM","Summary"
"http://publications.europa.eu/resource/authority/resource-type/SUM_JUR","Summary"
"http://publications.europa.eu/resource/authority/resource-type/ACT_LEGIS","Legislative acts"
"http://publications.europa.eu/resource/authority/resource-type/MINUTES","Minutes"
"http://publications.europa.eu/resource/authority/resource-type/QUEST_ORAL","Oral question"
"http://publications.europa.eu/resource/authority/resource-type/DECLAR","Declaration"
"http://publications.europa.eu/resource/authority/resource-type/GUIDELINE","Guideline"
"http://publications.europa.eu/resource/authority/resource-type/NOTE_COVER","Cover note"
"http://publications.europa.eu/resource/authority/resource-type/NOTIF","Notification"
"http://publications.europa.eu/resource/authority/resource-type/REG_DRAFT","Draft regulation"
"http://publications.europa.eu/resource/authority/resource-type/STU_EVL_ANNEX","Annex to an evaluation study"
"http://publications.europa.eu/resource/authority/resource-type/BALANCE","Balance"
"http://publications.europa.eu/resource/authority/resource-type/BUDGET_SUPPL_AMEND","Supplementary and amending budget"
"http://publications.europa.eu/resource/authority/resource-type/DEC_DEL","Delegated decision"
"http://publications.europa.eu/resource/authority/resource-type/MEMORANDUM_UNDERST","Memorandum of understanding"
"http://publications.europa.eu/resource/authority/resource-type/ITEM_I_NOTE","‘I’ item note"
"http://publications.europa.eu/resource/authority/resource-type/REPORT_ANNUAL_DAS","Annual report with the statement of assurance"
"http://publications.europa.eu/resource/authority/resource-type/WORK_DOC","Working document"
"http://publications.europa.eu/resource/authority/resource-type/ROADMAP","Roadmap"
"http://publications.europa.eu/resource/authority/resource-type/THIRDPARTY_PROCEED","Third-party proceedings"
"http://publications.europa.eu/resource/authority/resource-type/ACT","Act"
"http://publications.europa.eu/resource/authority/resource-type/JUDG_EXTRACT","Judgment (extracts)"
"http://publications.europa.eu/resource/authority/resource-type/AGREE","Agreement"
"http://publications.europa.eu/resource/authority/resource-type/JOINT_PROP_DEC","Joint proposal for a decision"
"http://publications.europa.eu/resource/authority/resource-type/JOINT_PROP_REG","Joint proposal for a regulation"
"http://publications.europa.eu/resource/authority/resource-type/AID_STATE","State aid"
"http://publications.europa.eu/resource/authority/resource-type/REPORT_ANNUAL_SPECIF","Specific annual report"
"http://publications.europa.eu/resource/authority/resource-type/NOTICE_MODEL_PP","Model notice for public procurement"
"http://publications.europa.eu/resource/authority/resource-type/REPORT_ANNUAL","Annual report"
"http://publications.europa.eu/resource/authority/resource-type/OWNINI_OPIN_ADDIT","Additional own-initiative opinion"
"http://publications.europa.eu/resource/authority/resource-type/PAPER_WHITE","White Paper"
"http://publications.europa.eu/resource/authority/resource-type/PROP_RES","Proposal for a resolution"
"http://publications.europa.eu/resource/authority/resource-type/LIST","List"
"http://publications.europa.eu/resource/authority/resource-type/NOTE","Note"
"http://publications.europa.eu/resource/authority/resource-type/AMEND_PROP_DEC","Amended proposal for a decision"
"http://publications.europa.eu/resource/authority/resource-type/ITEM_IA_NOTE","‘I/A’ item note"
"http://publications.europa.eu/resource/authority/resource-type/PROP_DRAFT","Draft proposal"
"http://publications.europa.eu/resource/authority/resource-type/REG_DEL","Delegated regulation"
"http://publications.europa.eu/resource/authority/resource-type/BUDGET_DRAFT","Draft budget"
"http://publications.europa.eu/resource/authority/resource-type/OPIN_EXPLOR","Exploratory opinion"
"http://publications.europa.eu/resource/authority/resource-type/OPIN_NO_REPORT","Opinion without report"
"http://publications.europa.eu/resource/authority/resource-type/CONVENTION","Convention"
"http://publications.europa.eu/resource/authority/resource-type/DEC_FRAMW","Framework decision"
"http://publications.europa.eu/resource/authority/resource-type/AMEND_PROP_DIR","Amended proposal for a directive"
"http://publications.europa.eu/resource/authority/resource-type/REPORT_SPECIAL","Special report"
"http://publications.europa.eu/resource/authority/resource-type/STU_EVL","Evaluation study"
"http://publications.europa.eu/resource/authority/resource-type/STU_SUM_EXE","Executive summary of a study"
"http://publications.europa.eu/resource/authority/resource-type/INI","Initiative"
"http://publications.europa.eu/resource/authority/resource-type/RECO_RECO","Recommendation for a recommendation"
"http://publications.europa.eu/resource/authority/resource-type/STU_ANNEX","Annex to a study"
"http://publications.europa.eu/resource/authority/resource-type/AGREE_AMEND","Amendment to an agreement"
"http://publications.europa.eu/resource/authority/resource-type/POSIT","Position"
"http://publications.europa.eu/resource/authority/resource-type/RES_DRAFT","Draft resolution"
"http://publications.europa.eu/resource/authority/resource-type/OPIN_QUAL_APR","Opinion with qualified approval"
"http://publications.europa.eu/resource/authority/resource-type/JOINT_TEXT_APR","Approved joint text"
"http://publications.europa.eu/resource/authority/resource-type/PAPER_GREEN","Green Paper"
"http://publications.europa.eu/resource/authority/resource-type/AMEND_PROP_REG","Amended proposal for a regulation"
"http://publications.europa.eu/resource/authority/resource-type/PROP_DEC_IMPL","Proposal for an implementing decision"
"http://publications.europa.eu/resource/authority/resource-type/PROP_REG_IMPL","Proposal for an implementing regulation"
"http://publications.europa.eu/resource/authority/resource-type/STU_EVL_SUM_EXE","Executive summary of an evaluation study"
"http://publications.europa.eu/resource/authority/resource-type/OPIN_IMPACT_ASSESS","Opinion on impact assessment"
"http://publications.europa.eu/resource/authority/resource-type/DIR_IMPL","Implementing directive"
"http://publications.europa.eu/resource/authority/resource-type/PROC_ADMIN","Administrative procedures"
"http://publications.europa.eu/resource/authority/resource-type/DIR_DEL","Delegated directive"
"http://publications.europa.eu/resource/authority/resource-type/REG_IMPL_DRAFT","Draft implementing regulation"
"http://publications.europa.eu/resource/authority/resource-type/VIEW_AG","View of the Advocate General"
"http://publications.europa.eu/resource/authority/resource-type/PROGRAM","Programme"
"http://publications.europa.eu/resource/authority/resource-type/RECO_DRAFT","Draft recommendation"
"http://publications.europa.eu/resource/authority/resource-type/ARRANG","Arrangement"
"http://publications.europa.eu/resource/authority/resource-type/OPIN_DISPUT_LB","Opinion disputing a legal base"
"http://publications.europa.eu/resource/authority/resource-type/STATUTE","Statute"
"http://publications.europa.eu/resource/authority/resource-type/DIR_DEL_DRAFT","Draft delegated directive"
"http://publications.europa.eu/resource/authority/resource-type/DIR_DRAFT","Draft directive"
"http://publications.europa.eu/resource/authority/resource-type/JOINT_REPORT","Joint report"
"http://publications.europa.eu/resource/authority/resource-type/STAT","Statement"
"http://publications.europa.eu/resource/authority/resource-type/STAT_REASON","Statement of reasons"
