"uri","label"
"http://publications.europa.eu/resource/authority/corporate-body/EMPL","Directorate-General for Employment, Social Affairs and Inclusion"
"http://publications.europa.eu/resource/authority/corporate-body/EMPL","Directorate-General for Employment, Social Affairs and Inclusion"
"http://publications.europa.eu/resource/authority/corporate-body/ENTR","Directorate-General for Enterprise and Industry"
"http://publications.europa.eu/resource/authority/corporate-body/ENV","Directorate-General for Environment"
"http://publications.europa.eu/resource/authority/corporate-body/ENV","Directorate-General for Environment"
"http://publications.europa.eu/resource/authority/corporate-body/EP","European Parliament"
"http://publications.europa.eu/resource/authority/corporate-body/EP","European Parliament"
"http://publications.europa.eu/resource/authority/corporate-body/EPSO","European Personnel Selection Office"
"http://publications.europa.eu/resource/authority/corporate-body/EPSO","European Personnel Selection Office"
"http://publications.europa.eu/resource/authority/corporate-body/EP_AFET","Committee on Foreign Affairs"
"http://publications.europa.eu/resource/authority/corporate-body/EP_AFET","Committee on Foreign Affairs"
"http://publications.europa.eu/resource/authority/corporate-body/EP_ECON","Committee on Economic and Monetary Affairs"
"http://publications.europa.eu/resource/authority/corporate-body/EP_ECON","Committee on Economic and Monetary Affairs"
"http://publications.europa.eu/resource/authority/corporate-body/EP_PETI","Committee on Petitions"
"http://publications.europa.eu/resource/authority/corporate-body/EP_PETI","Committee on Petitions"
"http://publications.europa.eu/resource/authority/corporate-body/EUMS9","The nine Member States: Belgium, Denmark, Germany, Ireland, France, Italy, Luxembourg, Netherlands, United Kingdom"
"http://publications.europa.eu/resource/authority/corporate-body/EURUN","European Union"
"http://publications.europa.eu/resource/authority/corporate-body/EURUN","European Union"
"http://publications.europa.eu/resource/authority/corporate-body/GCEU","General Court"
"http://publications.europa.eu/resource/authority/corporate-body/GCEU","General Court"
"http://publications.europa.eu/resource/authority/corporate-body/GCEU","General Court"
"http://publications.europa.eu/resource/authority/corporate-body/GOVREP","Representatives of the Governments of the Member States"
"http://publications.europa.eu/resource/authority/corporate-body/GOVREP","Representatives of the Governments of the Member States"
"http://publications.europa.eu/resource/authority/corporate-body/INFSO","Directorate-General for the Information Society and Media"
"http://publications.europa.eu/resource/authority/corporate-body/JLS","Directorate-General for Justice, Freedom and Security"
"http://publications.europa.eu/resource/authority/corporate-body/JRC","Joint Research Centre"
"http://publications.europa.eu/resource/authority/corporate-body/JRC","Joint Research Centre"
"http://publications.europa.eu/resource/authority/corporate-body/MARE","Directorate-General for Maritime Affairs and Fisheries"
"http://publications.europa.eu/resource/authority/corporate-body/MARE","Directorate-General for Maritime Affairs and Fisheries"
"http://publications.europa.eu/resource/authority/corporate-body/MARKT","Directorate-General for the Internal Market and Services"
"http://publications.europa.eu/resource/authority/corporate-body/NP","National parliaments"
"http://publications.europa.eu/resource/authority/corporate-body/OP_DATPRO","Provisional data"
"http://publications.europa.eu/resource/authority/corporate-body/PUBL","Publications Office"
"http://publications.europa.eu/resource/authority/corporate-body/PUBL","Publications Office"
"http://publications.europa.eu/resource/authority/corporate-body/REGIO","Directorate-General for Regional and Urban Policy"
"http://publications.europa.eu/resource/authority/corporate-body/REGIO","Directorate-General for Regional and Urban Policy"
"http://publications.europa.eu/resource/authority/corporate-body/RELEX","Directorate-General for External Relations"
"http://publications.europa.eu/resource/authority/corporate-body/RTD","Directorate-General for Research and Innovation"
"http://publications.europa.eu/resource/authority/corporate-body/RTD","Directorate-General for Research and Innovation"
"http://publications.europa.eu/resource/authority/corporate-body/SANCO","Directorate-General for Health and Consumers"
"http://publications.europa.eu/resource/authority/corporate-body/SJ","Legal service"
"http://publications.europa.eu/resource/authority/corporate-body/SJ","Legal service"
"http://publications.europa.eu/resource/authority/corporate-body/TAXUD","Directorate-General for Taxation and Customs Union"
"http://publications.europa.eu/resource/authority/corporate-body/TAXUD","Directorate-General for Taxation and Customs Union"
"http://publications.europa.eu/resource/authority/corporate-body/TRADE","Directorate-General for Trade"
"http://publications.europa.eu/resource/authority/corporate-body/TRADE","Directorate-General for Trade"
"http://publications.europa.eu/resource/authority/corporate-body/CMT_MIX_EEAREA","EEA Joint Committee"
"http://publications.europa.eu/resource/authority/corporate-body/COUN_ASS_EC_EST","EC–Estonia Association Council"
"http://publications.europa.eu/resource/authority/corporate-body/COUN_ASS_EC_ROU","EC–Romania Association Council"
"http://publications.europa.eu/resource/authority/corporate-body/CURIA","Court of Justice of the European Union"
"http://publications.europa.eu/resource/authority/corporate-body/CURIA","Court of Justice of the European Union"
"http://publications.europa.eu/resource/authority/corporate-body/CURIA","Court of Justice of the European Union"
"http://publications.europa.eu/resource/authority/corporate-body/EACEA","European Education and Culture Executive Agency"
"http://publications.europa.eu/resource/authority/corporate-body/EACEA","European Education and Culture Executive Agency"
"http://publications.europa.eu/resource/authority/corporate-body/EACEA","European Education and Culture Executive Agency"
"http://publications.europa.eu/resource/authority/corporate-body/EEC","European Economic Community"
"http://publications.europa.eu/resource/authority/corporate-body/EP_FEMM","Committee on Women’s Rights and Gender Equality"
"http://publications.europa.eu/resource/authority/corporate-body/EP_FEMM","Committee on Women’s Rights and Gender Equality"
"http://publications.europa.eu/resource/authority/corporate-body/EP_INTERNAL_POL","Directorate-General for Internal Policies of the Union"
"http://publications.europa.eu/resource/authority/corporate-body/EP_INTERNAL_POL","Directorate-General for Internal Policies of the Union"
"http://publications.europa.eu/resource/authority/corporate-body/ESTAT","Eurostat"
"http://publications.europa.eu/resource/authority/corporate-body/ESTAT","Eurostat"
"http://publications.europa.eu/resource/authority/corporate-body/EUMS","The Member States"
"http://publications.europa.eu/resource/authority/corporate-body/EURCOM","European Community"
"http://publications.europa.eu/resource/authority/corporate-body/EURY","Eurydice"
"http://publications.europa.eu/resource/authority/corporate-body/IES","Institute for Environment and Sustainability"
"http://publications.europa.eu/resource/authority/corporate-body/JUST","Directorate-General for Justice and Consumers"
"http://publications.europa.eu/resource/authority/corporate-body/JUST","Directorate-General for Justice and Consumers"
"http://publications.europa.eu/resource/authority/corporate-body/SCAD","Automated Central Documentation Service"
"http://publications.europa.eu/resource/authority/corporate-body/SG","Secretariat-General"
"http://publications.europa.eu/resource/authority/corporate-body/SG","Secretariat-General"
"http://publications.europa.eu/resource/authority/corporate-body/CST","Civil Service Tribunal"
"http://publications.europa.eu/resource/authority/corporate-body/DEL_ACC","Accession Delegation"
"http://publications.europa.eu/resource/authority/corporate-body/EAEC","European Atomic Energy Community"
"http://publications.europa.eu/resource/authority/corporate-body/EDPS","European Data Protection Supervisor"
"http://publications.europa.eu/resource/authority/corporate-body/EDPS","European Data Protection Supervisor"
"http://publications.europa.eu/resource/authority/corporate-body/EDPS","European Data Protection Supervisor"
"http://publications.europa.eu/resource/authority/corporate-body/EEAS","European External Action Service"
"http://publications.europa.eu/resource/authority/corporate-body/EEAS","European External Action Service"
"http://publications.europa.eu/resource/authority/corporate-body/EEAS","European External Action Service"
"http://publications.europa.eu/resource/authority/corporate-body/EP_DEVE","Committee on Development"
"http://publications.europa.eu/resource/authority/corporate-body/EP_DEVE","Committee on Development"
"http://publications.europa.eu/resource/authority/corporate-body/EP_ENVI","Committee on the Environment, Public Health and Food Safety"
"http://publications.europa.eu/resource/authority/corporate-body/EP_ENVI","Committee on the Environment, Public Health and Food Safety"
"http://publications.europa.eu/resource/authority/corporate-body/EP_GROUP_ED","European Democratic Group"
"http://publications.europa.eu/resource/authority/corporate-body/EP_GROUP_EPP","Group of the European People’s Party"
"http://publications.europa.eu/resource/authority/corporate-body/EP_GROUP_EPP","Group of the European People’s Party"
"http://publications.europa.eu/resource/authority/corporate-body/EP_GROUP_EUL","Group for the European United Left"
"http://publications.europa.eu/resource/authority/corporate-body/EP_GROUP_LDR","Liberal and Democratic Reformist Group"
"http://publications.europa.eu/resource/authority/corporate-body/EP_GROUP_PSE","Socialist Group in the European Parliament"
"http://publications.europa.eu/resource/authority/corporate-body/EP_GROUP_RDE","Group of the European Democratic Alliance"
"http://publications.europa.eu/resource/authority/corporate-body/EP_IMCO","Committee on the Internal Market and Consumer Protection"
"http://publications.europa.eu/resource/authority/corporate-body/EP_IMCO","Committee on the Internal Market and Consumer Protection"
"http://publications.europa.eu/resource/authority/corporate-body/EP_OFF_HUN","Liaison Office in Hungary"
"http://publications.europa.eu/resource/authority/corporate-body/EP_OFF_HUN","Liaison Office in Hungary"
"http://publications.europa.eu/resource/authority/corporate-body/EP_RESEARCH","Directorate-General for Parliamentary Research Services"
"http://publications.europa.eu/resource/authority/corporate-body/EP_RESEARCH","Directorate-General for Parliamentary Research Services"
"http://publications.europa.eu/resource/authority/corporate-body/EUI","European University Institute"
"http://publications.europa.eu/resource/authority/corporate-body/EUISS","European Union Institute for Security Studies"
"http://publications.europa.eu/resource/authority/corporate-body/EUISS","European Union Institute for Security Studies"
"http://publications.europa.eu/resource/authority/corporate-body/EUMS15","The fifteen Member States: Belgium, Denmark, Germany, Ireland, Greece, Spain, France, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom"
"http://publications.europa.eu/resource/authority/corporate-body/MOVE","Directorate-General for Mobility and Transport"
"http://publications.europa.eu/resource/authority/corporate-body/MOVE","Directorate-General for Mobility and Transport"
"http://publications.europa.eu/resource/authority/corporate-body/TREN","Directorate-General for Energy and Transport"
"http://publications.europa.eu/resource/authority/corporate-body/CEPOL","European Union Agency for Law Enforcement Training"
"http://publications.europa.eu/resource/authority/corporate-body/CEPOL","European Union Agency for Law Enforcement Training"
"http://publications.europa.eu/resource/authority/corporate-body/COUN_ASS","Association Council"
"http://publications.europa.eu/resource/authority/corporate-body/COUN_ASS_EC_TUR","EC–Turkey Association Council"
"http://publications.europa.eu/resource/authority/corporate-body/DG10","DG X – Information, Communication, Culture and Audiovisual Media"
"http://publications.europa.eu/resource/authority/corporate-body/ECA","European Court of Auditors"
"http://publications.europa.eu/resource/authority/corporate-body/ECA","European Court of Auditors"
"http://publications.europa.eu/resource/authority/corporate-body/ECA","European Court of Auditors"
"http://publications.europa.eu/resource/authority/corporate-body/EP_AGRI","Committee on Agriculture and Rural Development"
"http://publications.europa.eu/resource/authority/corporate-body/EP_AGRI","Committee on Agriculture and Rural Development"
"http://publications.europa.eu/resource/authority/corporate-body/EP_BUDG","Committee on Budgets"
"http://publications.europa.eu/resource/authority/corporate-body/EP_BUDG","Committee on Budgets"
"http://publications.europa.eu/resource/authority/corporate-body/EP_CULT","Committee on Culture and Education"
"http://publications.europa.eu/resource/authority/corporate-body/EP_CULT","Committee on Culture and Education"
"http://publications.europa.eu/resource/authority/corporate-body/HR","Directorate-General for Human Resources and Security"
"http://publications.europa.eu/resource/authority/corporate-body/HR","Directorate-General for Human Resources and Security"
"http://publications.europa.eu/resource/authority/corporate-body/BEPA","Bureau of European Policy Advisers"
"http://publications.europa.eu/resource/authority/corporate-body/DG02","DG II – Economic and Financial Affairs"
"http://publications.europa.eu/resource/authority/corporate-body/ECB","European Central Bank"
"http://publications.europa.eu/resource/authority/corporate-body/ECB","European Central Bank"
"http://publications.europa.eu/resource/authority/corporate-body/ECB","European Central Bank"
"http://publications.europa.eu/resource/authority/corporate-body/ECSC_HA","High Authority"
"http://publications.europa.eu/resource/authority/corporate-body/EP_CONT","Committee on Budgetary Control"
"http://publications.europa.eu/resource/authority/corporate-body/EP_CONT","Committee on Budgetary Control"
"http://publications.europa.eu/resource/authority/corporate-body/EP_EMPL","Committee on Employment and Social Affairs"
"http://publications.europa.eu/resource/authority/corporate-body/EP_EMPL","Committee on Employment and Social Affairs"
